post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility
"Surya Vajra Reiki Level 1-3",surya-vajra-reiki-level-1-3,,386,"<!--more-->Surya Vajra Reiki 1-3 Master Level Course &amp; Attunements

Level 1

This system has an unique and powerful energy for healing and many other purposes. Is not only for physical purposes, this system is also useful for mental and spiritual purposes. Even has a powerful energy, but very simply and easily to works with this system. Don’t need any symbols and specific hands position.

In this system, we will works with 2 kinds of energy, that is : Tummo/Inner Heat, and Reiki/Life Force. This 2 kinds energy will combined and works together in your session. The Surya Vajra Reiki is also helps to arouse the Kundalini / Fire Serpent.

This Surya Vajra Reiki has 3 levels :

1st LEVEL : In the first level, the attunement will open your 3 main channels (Sushumna, Ida, Pingala), open the energy channels to your palms, activate the 7 major chakras. and activate the Lower Dan Tien, then with this the Inner Heat will be active. At this level, you’re using the healing energy only for hands on session.

Surya Vajra Reiki – Level 2

In the second level, the attunement will activating your Middle Dan Tien, so the Tummo/Inner Heat energy will increase. The attunement also open your main channels and the energy channels to palms to be more bigger, so the life force energy will flowing more faster and the healing session will be more effective and efficient.

Surya Vajra Reiki Level 3 / Master Level :

In the third level, the attunement will open the 72.000 energy channels in the body, activate the 365 chakras, the upper Dan Tien will be active, so the inner heat energy more strongest than before. This is the Master Level, after you have receive the attunement of this level, and doing the meditation in this level for about 21 days, you can passing the attunements for others.

You receive pdf manual, Digital Download and Chi Ball Attunement &amp; Certificate. An emailed will be sent to you when your attunement are ready .

&nbsp;","Experience the transformative power of Surya Vajra Reiki 1-3 Master Level Course &amp; Attunements. Activate your energy channels, chakras, and inner heat for healing and spiritual growth. Distance attunement, manuals, and certificate included!",publish,,0,"2023-09-01 13:39:35",236945234,open,,,,yes,yes,,135,,,,,,zero-rate,,instock,no,no,,no,none,,,,,,1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2023/09/Bild_2024-05-27_134023034-e1716810043379.png ! alt :  ! title : Bild_2024-05-27_134023034 ! desc :  ! caption : ","Surya_Vajra_Reiki_-_1st_Level_HariWinarso-w4uyia.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Surya_Vajra_Reiki_-_1st_Level_HariWinarso-w4uyia.pdf | Surya_Vajra_Reiki_-_2nd_Level_HariWinarso-gozu60.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Surya_Vajra_Reiki_-_2nd_Level_HariWinarso-gozu60.pdf | Surya_Vajra_Reiki_-_3rd_Level_this-one-b9ea8o.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Surya_Vajra_Reiki_-_3rd_Level_this-one-b9ea8o.pdf",https://simonneellesuryacenter.com/home/shop/surya-vajra-reiki-level-1-3/,0,,"Hari Andri Winarso",simple,featured,"All Attunements|Collections",#reiki|#surya|#vajra|#winarso,,
"999 Multidimensional Cleansing Mega Force 2023",999-multidimensional-cleansing-mega-force-2023,,471,"<span lang=""EN-US"">If you’re looking for a powerful upgrade to your cleansing and energy modality practices, look no
further than the 999 Multidimensional Cleansing Mega Force. This upgrade is
300% stronger and more effective than the previous version, 2019’s
Multidimensional Cleansing Mega Force, making it an incredibly powerful
modality for achieving multidimensional freedom from negativities. The 999
Multidimensional Cleansing Mega Force is designed to remove the effects of any
negative vow, declaration, curse, or emotional attachment that may be holding
you back. It works by cleansing and purifying all levels of your subtle bodies,
removing harmful influences from others or the environment. This powerful
energy can help you release past traumas, negative patterns, and emotional
baggage that may be weighing you down. Not only does the 999 Multidimensional
Cleansing Mega Force clear your mind from negative thought patterns and
illusions, but it also clears your mind from etheric parasites and other
unwanted entities that can have detrimental effects on your mental and emotional
well-being. With this modality, you can experience a greater sense of clarity,
focus, and mental freedom. But the benefits of the 999 Multidimensional
Cleansing Mega Force don’t stop there. In addition to cleansing, it also helps
to build a powerful energetic shield that can protect you from negative
energies and entities. This shield can help you feel more confident and
empowered in your daily life, allowing you to move forward with greater ease
and grace. Overall, the 999 Multidimensional Cleansing Mega Force is an
incredibly powerful tool for anyone looking to improve their overall well-being
and achieve greater levels of multidimensional freedom. Whether you’re
struggling with past traumas, negative thought patterns, or just want to feel
more protected and empowered in your daily life, this energy upgrade is
definitely worth exploring.</span>

<span lang=""EN-US"">You receive pdf manual,with Digital Download , Chi Ball Attunement and certificate.</span>

<span lang=""EN-US"">An emailed will be sent to you when your attunement are ready.</span>","Achieve multidimensional freedom and protection with the 999 Multidimensional Cleansing Mega Force. Release past traumas, negative patterns, and emotional baggage. Receive pdf manual and Chi Ball Attunement.",publish,,0,"2023-09-11 17:03:29",236945234,open,,,,yes,yes,,40,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/03/quantum-pack-e1742583652278.png ! alt :  ! title : quantum-pack ! desc :  ! caption : ",999-MULTIDIMENSIONAL-CLEANSING-MEGA-FORCE-2023-ENGLISCH-idh9tx.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/999-MULTIDIMENSIONAL-CLEANSING-MEGA-FORCE-2023-ENGLISCH-idh9tx.pdf,https://simonneellesuryacenter.com/home/shop/999-multidimensional-cleansing-mega-force-2023/,0,,"Hari Andri Winarso",simple,,"All Attunements|Collections",#reiki|#winarso,,
"Interdimensional Karmic Cleansing – Hari Andri Winarso – 2023",interdimensional-karmic-cleansing,,475,"<cite>Karmas are energetic imprints that are held within our bodies and can
affect our lives in a variety of ways. These imprints or memories can originate
from our past lives or even be inherited from our ancestors. When these karmas
are not released, they can block our natural flow of energy and limit our
potential. The good news is that karmas are only energized in motion and can be
released. This Interdimensional Karmic Cleansing provides a simple yet powerful
way to release any karmas that may be blocking your energy flow. It works
across all time-space dimensions – past, present, and future. During the
Interdimensional Karmic Cleansing attunement, you will be able to break all
vows, contracts, and ties that do not serve you. This can include ties to
people, places, or situations that may be holding you back. By releasing these
ties, you can free up your energy and allow it to flow more freely, giving you
a greater sense of vitality and well-being. The process of the Interdimensional
Karmic Cleansing attunement is simple yet powerful. During the attunement, you
will also receive energy healing to help you release any blockages in your
energy field. The effects of the Interdimensional Karmic Cleansing attunement
can be profound. Many people report feeling lighter and more free after the
attunement. They may also notice an increase in their energy levels, as well as
a greater sense of peace and well-being. If you are feeling stuck or blocked in
any area of your life, or if you are experiencing physical or emotional
symptoms that you cannot explain, it may be time to consider an
Interdimensional Karmic Cleansing attunement. This powerful modality can help
you release any karmic ties that may be holding you back and allow your energy
to flow more freely, leading to greater health, happiness, and success in all
areas of your life.</cite>
<cite>You receive pdf manual, with Digital Download and Chi Ball Attunement, Certificate.</cite>
<cite>An emailed will be sent to you when your attunement are ready.</cite>","Experience the power of Interdimensional Karmic Cleansing! Break free from karmic ties to unlock your energy and potential. Get attuned today.",publish,,0,"2023-09-11 17:34:35",236945234,open,,,,yes,yes,,40,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2023/09/Bild_2024-06-05_161759525-e1717597107957.png ! alt :  ! title : Bild_2024-06-05_161759525 ! desc :  ! caption : ",Interdimensional-Karmic-Cleansing-Hari-Andri-Winarso-2023-xenoy9.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Interdimensional-Karmic-Cleansing-Hari-Andri-Winarso-2023-xenoy9.pdf,https://simonneellesuryacenter.com/home/shop/interdimensional-karmic-cleansing/,0,,"Hari Andri Winarso",simple,,"All Attunements|Collections",#interdimensional|#karmic|#reiki|#winarso,,
"Vortex Light Shakti  by Hari Winarso",vortex-light-shakti-by-hari-winarso,,480,"<strong>Prerequisite: Reiki 2nd Degree</strong>

Vortex Light Shakti is a beautiful system of energy work that has been channeled to enhance your Senses and feelings of Security that help you to establish Personal Boundaries. It promotes a more realxed attitude to life while Balancing Mood Swings and making you more aware of your Emotions and sense of Inner Peace. It is also a protector from Negative Energies. The energies of Vortex Light Shakti is an excellent tool for Meditation, enabling you to both access and retrieve Ancient Wisdom and Information about Past Lives. The Vortex Light Shakti is full of Compressed Shakti Energies and is channeled to be intensely active so it can energise your energy system. As a Healing Energy, Vortex Light Shakti is effective at healing Physical, Mental and Emotional Diseases. Lastly, Vortex Light Shakti works to help with the movement of Kundalini into and through the Heart Chakra. It brings a calming Peace wheer it resides and promotes Love and Security within ones life.

<strong>Vortex Light Shakti consists of 3 separate Levels/Degrees:</strong>

<strong><em>1st Level/Degree  :</em></strong>

<ul>
<li>Vortex Light.</p></li>
<li><p>The 7 Chakra Empowerment.</p></li>
<li><p>Palm Chakra Empowerment.</p></li>
<li><p>Earth Nature Empowerment.</p></li>
<li><p>Sun Moon Vortex Lights.</p></li>
<li><p>Diamond Vortex Light Shield Activation.</p></li>
</ul>

<p><strong><em>2nd Level/Degree </em></strong>

<ul>
<li>Vortex Light Shakti.</p></li>
<li><p>Vortex Light Shakti Meridian Healing.</p></li>
<li><p>Trisula Light Shakti.</p></li>
<li><p>Heart Chakra Empowerment.</p></li>
<li><p>Vortex Light Shakti Shield</p></li>
<li><p>Activation of Kundalini Shakti.</p></li>
</ul>

<p><strong>3rd Level/Degree </strong>

<ul>
<li>7 Subtle Bodies Cleansing Empowerment.</p></li>
<li><p>Vortex Light Shakti Shield II.</p></li>
<li><p>Activation of Kundalini Shakti II.</p></li>
<li><p>Fourth Dimensional Chakra Attunement.</p></li>
</ul>

<p>With your purchase you will receive:

<ul>
<li><p>Digital Download of your chosen Manual/Manuals.</p></li>
<li><p>Your Distant Attunement will be sent to you after you have read through the Manual/Manuals and have asked any questions that you may have. This is to ensure that you have understood all of the information that was given to you. Your Distant Attunement will be sent to you via the Call In (Chi Ball) or Appointed Time Method.</p></li>
<li><p>An Emailed Certificate with  Lineage will be sent to you after you have received your Attunement. Alternatively, you can just receive the Attunement Lineage if no Certificate is required.</p></li>
<li><p>Email Support will be given during the duration of your Spiritual Training.</p></li>
</ul>","Enhance your senses and inner peace with Vortex Light Shakti. 3 powerful levels to energize, heal, and promote love. Get attuned today!",publish,,0,"2023-09-11 18:57:50",236945234,open,,,,yes,yes,,130,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2023/09/Bild_2024-06-05_173304305-e1718548315240.png ! alt :  ! title : Bild_2024-06-05_173304305 ! desc :  ! caption : ","Vortex-Light-Shakti-1st-Level-bcnxfr.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Vortex-Light-Shakti-1st-Level-bcnxfr.pdf | Vortex-Light-Shakti-2nd-Level-oofhzl.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Vortex-Light-Shakti-2nd-Level-oofhzl.pdf | Vortex-Light-Shakti-3rd-Level-eiptg8.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Vortex-Light-Shakti-3rd-Level-eiptg8.pdf",https://simonneellesuryacenter.com/home/shop/vortex-light-shakti-by-hari-winarso/,0,,"Hari Andri Winarso",simple,,"All Attunements|Collections",#chakra|#clearing|#diamond|#empowerment|#protection|#reiki|#shakti|#shield|#winarso,,
"Infinity Living",infinity-living,,484,"The Infinity Living come from spiritual energy, Spiritual energy is within, yet it transcends the body and mind.

It exists at the core of everything on this planet and the universe.

With increased understanding of this energy, our spiritual life takes on a whole new meaning. With physical energy we use our body to make things happen, with the spiritual energy we direct the flow of energy from a place of spirit. Try to play with this these system to enhance your spiritual life.

The Infinity Living is an effective system of healing identifies your patterns of imbalance and releases them at the core level causing vibrational changes that work through each of the bodies and result in physical cellular change enhancing the body / mind’s ability's self-heal.

The Infinity Living is a simple, yet powerful technique. It can be very beneficial to practice at the point where you can engage it at a moment’s notice, as it can be very calming when addressing any type of challenge, either internal or external.

The 13 differents attunements, activation, exercises is:

<ol>
<li>5 Elements of Activation &amp; Balancing Exercise.</p></li>
<li><p>Energizing Shakti Meditation.</p></li>
<li><p>One Heart Chakra.</p></li>
<li><p>Feminine - Masculine Harmonization.</p></li>
<li><p>The Unified Chakra Attunement.</p></li>
<li><p>Multi Dimensional Grounding.</p></li>
<li><p>Omni Light Vortex. 8. Liquid Light Attunement.</p></li>
<li><p>Diamond Light Attunement.</p></li>
<li><p>Earth Sun Activation.</p></li>
<li><p>Ra Force Harmony.</p></li>
<li><p>Infinity Living of Love Living Attunement.</p></li>
<li><p>Infinity Living Acceleration.</p></li>
</ol>

<p>You receive pdf manual, with Digital Download and Chi Ball Attunement an emailed will be sent to you when your attunement are ready.","Enhance Your Spiritual Life with Infinity Living - A powerful healing system with 13 different attunements and exercises. PDF manual and Chi Ball Attunement included.",publish,,0,"2023-09-11 19:11:24",236945234,open,,,,yes,yes,,80,60,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2023/09/living-e1717957227709.png ! alt :  ! title : living ! desc :  ! caption : ",Infinity-Living-yjmdwx.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Infinity-Living-yjmdwx.pdf,https://simonneellesuryacenter.com/home/shop/infinity-living/,0,,"Hari Andri Winarso",simple,,"All Attunements|Collections",#infinity|#reiki|#winarso,,
"DNA 4 Success",dna-4-success,,489,"<cite>Deoxyribonucleic acid (DNA) is a nucleic acid that contains the genetic instructions used in the development and functioning of all known living organisms and some viruses. The main role of DNA molecules is the long-term storage of information.</cite>

<cite>DNA is often compared to set of blueprints or a recipe, or a code, since it contains the instructions needed to construct other components of cells, such as proteins and RNA molecules. The DNA segments that carry this genetic information are called genes, but other DNA sequences have structural purposes, or are involved in regulating the use of this genetic information.
DNA 4 Success:
You can read DNA 4 Success as “DNA FOR SUCCESS”. And it also have a mean and purposes to get 4 kinds of success, that is: HEALTH – WEALTH – LOVE – PERSONALITY.
DNA 4 Success has benefits to activating and heal your DNA. For health, it’s meant to improve physical health, increase body metabolism and immune system, speed up health recovery after illness, etc. For wealth, has benefits to attract the prosperity and good fortune, increase the creativity. For love, to attract anyone to be more love you and make you happy. About Personality, will change the negative habits into positive habits, make you to be more easy to positive thinking, make you to be more easy to motivating for yourself.
Why “DNA 4 SUCCESS” Can Work Like the Purposes: The DNA 4 SUCCESS change the negative habits into positive habits, make you to be more easy to positive thinking and make you to be more easy to motivating for yourself, so if you have positive habits, positive thinking and can motivating yourself, an others in around you will certain to be more love you.
When has positive thinking, your positive thinking attract the positive things come to you (The Law Of Attraction). And if you has positive thinking, your health certain to be more better. That is all make you happy and get a happiness in your life.
You receive pdf manual, with Digital Download and Chi Ball Attunement an emailed will be sent to you when your attunement are ready +certificate.</cite>

<span lang=""EN-US""> </span>","Activate DNA for success and happiness! Improve health, attract wealth, love, and enhance personality. PDF manual, digital download, and chi ball attunement included. Get certified.",publish,,0,"2023-09-11 19:47:16",236945234,open,,,,yes,yes,,25,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2023/09/Bild_2024-07-22_213845457-e1721677145624.png ! alt :  ! title : Bild_2024-07-22_213845457 ! desc :  ! caption : ",DNA-4-Success-shmuvh.zip::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/DNA-4-Success-shmuvh.zip,https://simonneellesuryacenter.com/home/shop/dna-4-success/,0,,"Hari Andri Winarso",simple,,"All Attunements|Collections",#reiki|#winarso,,
"La Viliat (Lavender Violet Light Atomic)",la-viliat-lavender-violet-light-atomic,,492,"&nbsp;

Laviliat Attunement or Lavender Violet Light Atomic is a great and excellent modality with the great energy, where the energy is reaching to the atomic structure and its parts, until the smallest.

The attunement of Laviliat raises the human vibration to an even higher spiritual connection. An excellent stimulation to a new high.

An attunement of self re-membering and heightened self-awareness, it enables recall of what you do in all dimensions of consciousness and re-membering the vast spectrum of your spiritual self.

Laviliat brings about profound emotional and multidimensional healing. Laviliat clears negative energy, aids joyful spiritual service and higher states of consciousness, giving guidance and protection.

This energy shields from unwanted energies, providing a protective sheath around the aura, and dispels attached entities and mental influences from the aura.

It imparts the ability to be self contained even within a the crown. It strengthens the energy field around the body.

It is an excellent energy for meditation and soul retrieval and aids going back into past lives to regain soul energy that did not make transition away from a past life death.

It facilitates the journey back to the site of the soul loss and can be used as the receptacle for the soul until it is reintegrated into the body. In this respect, it can heal past life death trauma and point the way to soul healing.

You receive pdf manual, with Digital Download and Chi Ball Attunement an emailed will be sent to you when your attunement are ready.","Elevate your spiritual connection with Laviliat Attunement. Experience multidimensional healing, protection, and higher states of consciousness. Get your digital download and Chi Ball Attunement now!",publish,,0,"2023-09-11 20:01:09",236945234,open,,,,yes,yes,,50,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2023/09/Bild_2024-07-10_231546012-e1720646164734.png ! alt :  ! title : Bild_2024-07-10_231546012 ! desc :  ! caption :  | https://simonneellesuryacenter.com/wp-content/uploads/2023/09/Lavi.png ! alt :  ! title : Lavi ! desc :  ! caption : ",Laviliat-Lavander-Violet-Light-p33tad.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Laviliat-Lavander-Violet-Light-p33tad.pdf,https://simonneellesuryacenter.com/home/shop/la-viliat-lavender-violet-light-atomic/,0,,"Hari Andri Winarso",simple,,"All Attunements|Collections",#ascension|#clearing|#energy|#healing|#protection|#reiki|#shield|#winarso,,
"Ethereal Flowers Levels 1-2 by Ole Gabrielsen",ethereal-flowers-1-2-by-ole-gabrielsen,,495,"With this course you will learn to create powerful flower remedies in a few seconds Through 2 activations you get access to the energies of specific flowers and you will be able to channel these energies through intention This is the same flowers used in Bach Flowers, used by many people around the world.

Now it 's possible to use the properties' etheric of these flowers By activating the first level you will be connected to the energy of the following flowers Agrimony anxiety and torment for those who hides behind gaiety and courtesy.

At Level 2 will be activated energy of these flowers: Plantain for those without self 'and continually seeks advice Plum for those who are afraid of losing my mind Gem White Horse Chestnut for those who always repeats the same mistakes and do not want to grow up Erica for those who hate the loneliness and chats using other Holly for those who have no confidence in the next test envy and hatred And many others...

You receive pdf manual, Digital Download and Chi Ball Attunement an emailed will be sent to you when your attunement are ready.

&nbsp;","Discover the power of flower remedies in just seconds! Activate 2 levels for access to specific flower energies used in Bach Flowers. Learn now!",publish,,0,"2023-09-11 20:07:52",236945234,open,,,,yes,yes,,50,25,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2023/09/flowers-e1744495205812.jpg ! alt :  ! title : flowers ! desc :  ! caption : ","Ethereal-Flowers-1-giocji.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Ethereal-Flowers-1-giocji.pdf | Ethereal-Flowers-2-2iyqqe.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Ethereal-Flowers-2-2iyqqe.pdf",https://simonneellesuryacenter.com/home/shop/ethereal-flowers-1-2-by-ole-gabrielsen/,0,,"Ole & Marijana Gabrielsen",simple,,"All Attunements","#ole gabrielsen",,
"The Ethereal Herbs by Jay Burrell",the-ethereal-herbs-by-jay-burrell,,499,"The Activation Ethereal Grasses will put you 'in tune with the properties' metaphysics of many healing herbs.

The manual provides an ethereal herbs meditation a list of herbs and described their properties', as to enable others, how to prepare a herbal oil.

You can also use them combined with ethereal flowers or crystals for healing and are also useful to those who practice Wicca.

You receive pdf manual, Digital Download and Chi Ball Attunement an emailed will be sent to you when your attunement are ready and certificate.

&nbsp;","Discover the healing power of Activation Ethereal Grasses with our guide to ethereal herbs, meditation, and herbal oil preparation. Includes pdf manual and Chi Ball Attunement. Ideal for Wicca practitioners.",publish,,0,"2023-09-11 20:30:25",236945234,open,,,,yes,yes,,25,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2023/09/Bild_2024-06-05_180824304-e1720729638548.png ! alt :  ! title : Bild_2024-06-05_180824304 ! desc :  ! caption : ",Ethereal-Herbs-Attunement-piie5l.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Ethereal-Herbs-Attunement-piie5l.pdf,https://simonneellesuryacenter.com/home/shop/the-ethereal-herbs-by-jay-burrell/,0,,"Jay Burrell",simple,,"All Attunements|Collections","#healing|#herbs|#jay burrell",,
"Sacred Etheric Smudge Essence",sacred-etheric-smudge-essence,,502,"Smudging is the burning of herbs or incense for cleansing, purification, protection of physical and spiritual bodies, banishment of negative energies and creation of sacred space. The smoke attaches itself to negative energy and as the smoke clears it takes the negative energy with it releasing it to another space with it will be transformed into positive energy.

What then is Sacred Etheric Smudge Essence Reiki? This is a technique to utilize the same energy of smudging without the actual burning of herbs or incense. This method is particularly effective for those of you with health issues that prevent you from burning herbs or incense at home; or those of you with loved ones who dislike the ritual of burning smudge in the home. One of the most powerful uses of Sacred Etheric Smudge Essence Reiki is that it can be sent over distance to a person, place or situation - there are no global or universal restrictions of sending this energy.

<em><strong>Etheric Sacred Smudge Essence Will Work:</strong></em>
As a Negativity Cleanser - For Mind, Body &amp; Spirit
As a Negativity Remover - For Work, Home, Car, Sacred Space, Outside Home
As a Etheric Cord Remover - From Psychic Vampires
As a Negative Entity Remover
For Purification
To Create Positive Energy
To Refresh &amp; Renew
To Make Peace With Energy
To Concencrate Space
To Drive Away Bad Spirits and Influences
To Send Remotely To People Places and Objects
To Assist in Karma Removal
Use Before Psychic Work

<em><strong>You will learn how to:</strong></em>
Smudge Yourself
Smudge Others
Smudge Animals
Smudge Objects
Smudge Outside Your Home or Sacred Space
Smudge 4 Directions
Smudge Before Mediation
Smudging and Divination
Smudging and Reiki
Smudge Your Bath
Smudge Your Food

<strong>WHAT YOU WILL RECEIVE:</strong>
- distance attunement
- manual
- certificate &amp;  you can pass this wonderful energy onto others!!

All of the information for the course and bonus manuals will be sent to you by email","Experience the power of Sacred Etheric Smudge Essence Reiki: cleanse, purify, and create sacred space without burning herbs. Includes distance attunement, manual, and certificate.",publish,,0,"2023-09-11 20:41:57",236945234,open,,,,yes,yes,,25,15,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2023/09/sacred-smudge.png ! alt :  ! title : sacred-smudge ! desc :  ! caption : ",Sacred-Etheric-Smudge-Essence-0s89np.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2023/09/Sacred-Etheric-Smudge-Essence-0s89np.pdf,https://simonneellesuryacenter.com/home/shop/sacred-etheric-smudge-essence/,0,,,simple,,"All Attunements","#rosemary noel",,
