term_id,name,slug,description,display_type,parent,thumbnail
50518555,"All Attunements",attunement,,default,0,https://simonneellesuryacenter.com/wp-content/uploads/2024/03/fire-soul-e1713467150407.png
50518556,"Orgone decorations",orgone-decorations,"Warning:
Courier/post deliveries for orgone, dowsing pendulums etc. are free of charge for Germany and Austria. 
Deliveries only to EU countries !!! For orders over 150€ for orgone decorations/radionic devices delivery is also free of charge.
Please note: only digital products / attunments and online courses are available in all EU and non-EU countries.",default,50519454,https://simonneellesuryacenter.com/wp-content/uploads/2024/03/IMG_20240310_140322-e1713388619643.jpg
50518647,Collections,collections-founders,,default,0,https://simonneellesuryacenter.com/wp-content/uploads/2024/03/fire-soul-e1713467150407.png
50518651,Workshops,workshops,,default,0,https://simonneellesuryacenter.com/wp-content/uploads/2024/02/Logo1-e1713388466977.png
50518652,Courses,courses,,both,0,https://simonneellesuryacenter.com/wp-content/uploads/2025/08/prezentare3.png
50518750,"NEW Systems / New Founders",new-systems-new-founders,,default,0,https://simonneellesuryacenter.com/wp-content/uploads/2024/03/fire-soul-e1713467150407.png
50518815,"Fără categorie",fara-categorie,,default,0,
50518872,"Attunements included in courses",attunements-included-in-courses,,default,0,
50519171,"radiesthesia pendulums",radiesthesia-pendulums,,default,0,
50519183,"Mystical Pyramid",mystical-pyramid,,default,50519454,https://simonneellesuryacenter.com/wp-content/uploads/2025/08/IMG-20250718-WA0024-e1755691245750.jpg
50519184,"Deco -Handmade",deco-handmade,,default,50519454,https://simonneellesuryacenter.com/wp-content/uploads/2025/07/cb7fd009-47f6-40c7-86fa-9fbc96ec749b-e1752830046739.jpeg
50519454,FIZIC,fizic,"physical objects",default,0,https://simonneellesuryacenter.com/wp-content/uploads/2025/07/WhatsApp-Image-2025-07-10-at-03.04.15_643cf628-e1755689287182.jpg
50519469,Uncategorised,uncategorised,,default,0,
50519560,"Servicii Colaboratori Site",servicii-colaboratori-site,,default,0,
50519561,Colaborari,colaborari,,default,0,
50519566,Numerology,numerology,,default,0,
50519567,Services/Therapies,services-therapies,,default,0,
