term_id,name,slug,description
50518557,#reiki,reiki,
50518558,#surya,surya,
50518559,#winarso,winarso,
50518560,#vajra,vajra,
50518561,#shakti,shakti,
50518562,"#ole gabrielsen",ole-gabrielsen,
50518563,"#jay burrell",jay-burrell,
50518564,"#rosemary noel",rosemary-noel,
50518565,"#raine hilton",raine-hilton,
50518566,#rishi,rishi,
50518567,#etheric,etheric,
50518568,#martinez,martinez,
50518571,#Crystal,crystal,
50518572,#protection,protection,
50518573,#atack,atack,
50518574,#daelynwolf,daelynwolfn,
50518575,#shaman,shaman,
50518576,#VictorGlanckopf,victorglanckopf,
50518577,#aura,aura,
50518578,#pachamama,pachamama,
50518579,#earth,earth,
50518580,#healing,healing,
50518633,#kundalini,kundalini,
50518634,#fire,fire,
50518635,#kali,kali,
50518636,#sword,sword,
50518642,#atlantian,atlantian,
50518649,#buddha,buddha,
50518653,#shield,shield,
50518655,#clearing,clearing,
50518656,#usui,usui,
50518664,#orgon,orgon,
50518666,#deco,deco,
50518667,#handmade,handmade,
50518668,#money,money,
50518669,#energie,energie,
50518670,#system,system,
50518671,#abundance,abundance,
50518672,#power,power,
50518673,#spiritual,spiritual,
50518674,#force,force,
50518678,#dna,dna,
50518680,#vip,vip,
50518681,#chakra,chakra,
50518682,#celestial,celestial,
50518684,#angel,angel,
50518685,#divine,divine,
50518686,#hämatite,hamatite,
50518687,#empowerment,empowerment,
50518688,#energy,energy,
50518703,"#deco #handmade",deco-handmade,
50518715,#karma,karma,
50518719,#tarot,tarot,
50518720,#diamond,diamond,
50518721,#bowl,bowl,
50518726,#radionic,radionic,
50518728,#astralbody,astralbody,
50518731,#golden,golden,
50518732,#body,body,
50518733,#activation,activation,
50518734,#ascension,ascension,
50518735,#lightcode,lightcode,
50518737,#black,black,
50518738,#magick,magick,
50518739,"#reiki #magical",reiki-magical,
50518741,#blueprint,blueprint,
50518742,#prosperity,prosperity,
50518744,#yoruba,yoruba,
50518746,#mantra,mantra,
50518747,#archangel,archangel,
50518748,#uriel,uriel,
50518749,#blessing,blessing,
50518751,#armor,armor,
50518752,#light,light,
50518753,#lightbody,lightbody,
